final_rank,score,raw_score,상품코드,상품명,인물,출판사,중복횟수,순위,출처파일
21,0.41335978835978837,1.2400793650793651,9791168343108,양면의 조개껍데기(리커버 특별판),김초엽,래빗홀,9,20,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (45).xlsx
22,0.384427501876701,1.017099567099567,9788932925349,키메라의 땅 1,베르나르 베르베르,열린책들,7,15,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (48).xlsx
23,0.38040702497027423,1.371577034077034,9791194413394,궤도,서맨사 하비,서해문집,13,16,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (48).xlsx
24,0.3757784928717678,1.8409311276958336,9788936434595,채식주의자,한강,창비,24,16,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (38).xlsx
25,0.3738070891026266,1.182081807081807,9791193078709,아무도 오지 않는 곳에서,천선란,허블,10,13,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (38).xlsx
26,0.3657868336329242,2.22499444569878,9788937460449,데미안,헤르만 헤세,민음사,37,14,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (14).xlsx
27,0.36022784516245226,1.2988199665831242,9791171715503,죽은 왕녀를 위한 파반느(양장 특별판),박민규,위즈덤하우스,13,18,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (25).xlsx
28,0.34047230299260534,1.12921888053467,9791124038338,바다에서 온 소년,개럿 카,북파머스,11,12,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (16).xlsx
29,0.30856318895437157,0.8727484933367287,9791194930136,장미와 나이프,히가시노 게이고,반타,8,17,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (54).xlsx
30,0.30805613912231555,1.2322245564892622,9788954682152,작별하지 않는다,한강,문학동네,16,16,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (23).xlsx
31,0.2879726399095449,1.1153132385330529,9788954681155,홍학의 자리,정해연,엘릭시르,15,19,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (19).xlsx
32,0.28317881078690516,0.6332070707070707,9788936439880,할매,황석영,창비,5,18,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (34).xlsx
33,0.26071428571428573,0.5214285714285715,9791170526643,어스탐 경의 임사전언,이영도,황금가지,4,14,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (39).xlsx
34,0.2588972431077694,0.7766917293233082,9791167376275,내 심장을 쏴라,정유정,은행나무,9,19,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (27).xlsx
35,0.25045136608604096,0.7513540982581229,9791194654063,긴키 지방의 어느 장소에 대하여,세스지 외,반타,9,22,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (44).xlsx
36,0.24933824052416667,0.7052350427350428,9788925588711,아르테미스(스페셜 에디션),앤디 위어,알에이치코리아,8,16,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (21).xlsx
37,0.24844752197693376,0.7453425659308013,9791193937822,월요일 수요일 토요일,페트라 펠리니,북파머스,9,20,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (44).xlsx
38,0.2400734742840006,0.7202204228520018,9788937460708,체호프 단편선,안톤 체호프,민음사,9,20,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (14).xlsx
39,0.23800466711650922,0.9520186684660369,9791167372864,구의 증명(리커버판),최진영,은행나무,16,20,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (17).xlsx
40,0.23345728345728345,0.7003718503718503,9791191043297,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",이치조 미사키,모모,9,20,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (29).xlsx
41,0.218866384652979,0.30952380952380953,9788932925783,영혼의 왈츠 1,베르나르 베르베르,열린책들,2,6,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (14).xlsx
